Model,MAE,RMSE,R2,MAPE
Random Forest Tuned,80443.80284562183,209217.09483588982,0.6998356403590658,20.510007560675454
XGBoost Tuned,82924.87301359764,216462.05041035096,0.6786869786352099,20.409212201074816
