Bedroom,Bathroom,Property Size,# of Floors,Total Units,Parking Lot,Property Age,Tenure Type Encoded,Property Type Encoded,Land Title Encoded,Transit Zone,Facility Count,Facility Tier,State_Kedah,State_Kelantan,State_Kuala Lumpur,State_Melaka,State_Negeri Sembilan,State_Other,State_Pahang,State_Penang,State_Perak,State_Putrajaya,State_Sabah,State_Sarawak,State_Selangor,State_Terengganu
3.0,3.0,1765.0,31.0,660.0,1.0,6.0,0,5,2,1,7,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,783.0,20.0,462.0,1.0,12.0,0,0,1,1,14,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,1300.0,17.0,400.0,1.0,12.0,0,1,2,1,10,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,3.0,1234.0,36.0,618.0,2.0,7.0,1,1,2,1,14,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.0,2.0,1250.0,20.0,252.0,2.0,10.0,1,1,2,0,8,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4.0,3.0,1100.0,20.0,462.0,2.0,12.0,1,1,2,1,14,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3.0,2.0,1055.0,20.0,462.0,2.0,9.0,1,0,2,1,14,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,624.0,5.0,462.0,1.0,12.0,1,0,2,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,3.0,1475.0,17.0,328.0,2.0,14.0,1,1,2,0,5,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,750.0,8.0,224.0,1.0,27.0,1,0,2,0,4,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,1018.0,20.0,462.0,2.0,12.0,0,1,2,1,6,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.0,3.0,1400.0,20.0,450.0,2.0,4.0,1,1,2,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2.0,2.0,802.0,20.0,462.0,3.0,12.0,1,3,2,0,2,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3.0,2.0,1206.0,20.0,290.0,1.0,23.0,1,1,2,1,5,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,850.0,5.0,462.0,1.0,12.0,0,0,2,1,4,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,860.0,20.0,462.0,1.0,12.0,1,0,2,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,838.0,22.0,816.0,1.0,19.0,1,1,2,0,9,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,1097.0,20.0,462.0,1.0,12.0,0,0,2,0,4,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3.0,2.0,852.0,12.0,462.0,1.0,26.0,0,0,2,1,11,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,789.0,4.0,462.0,1.0,12.0,1,0,2,1,2,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,850.0,435.0,435.0,1.0,16.0,1,0,2,1,5,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,700.0,20.0,462.0,1.0,12.0,0,0,2,1,5,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
